id,split,measured,predicted,note
CHEMBL339294,train,6.755,-17.89,
CHEMBL87377,test,6.74,4.89,
CHEMBL96018,test,6.72,4.63,
CHEMBL158739,train,6.72,4.22,
CHEMBL358812,train,6.7,7.24,
CHEMBL158696,train,6.68,4.16,
CHEMBL291490,train,6.67,6.39,
CHEMBL305024,train,6.66,6.59,
CHEMBL62709,train,6.65,6.19,
CHEMBL3142558,test,6.64,3.94,
CHEMBL47907,train,6.64,3.89,
CHEMBL450721,train,6.63,4.34,
CHEMBL456774,test,6.63,6.41,
CHEMBL416095,train,6.62,3.56,
CHEMBL57056,train,6.6,5.42,
CHEMBL295700,train,6.58,4.14,
CHEMBL344714,train,6.58,5.92,
CHEMBL349800,test,6.57,5.57,
CHEMBL128406,test,6.55,2.55,
CHEMBL3891386,train,6.55,-2.09,
CHEMBL295260,train,6.54,0.98,
CHEMBL301600,train,6.53,4.03,
CHEMBL45010,train,6.52,4.73,
CHEMBL147903,train,6.52,6.17,
CHEMBL424407,test,6.51,5.8,
CHEMBL3142560,test,6.51,3.97,
CHEMBL69194,train,6.5,6.58,
CHEMBL298443,test,6.46,2.67,
CHEMBL148081,train,6.46,6.03,
CHEMBL319942,train,6.44,4.0,
CHEMBL158366,train,6.43,4.78,
CHEMBL45577,train,6.4,4.54,
CHEMBL53840,train,6.37,7.23,
CHEMBL489100,train,6.37,5.7,
CHEMBL292465,train,6.34,6.23,
CHEMBL3142557,test,6.34,5.72,
CHEMBL45882,test,6.33,3.81,
CHEMBL434505,train,6.32,5.73,
CHEMBL47627,train,6.31,2.38,
CHEMBL162128,test,6.31,3.88,
CHEMBL159645,train,6.31,6.83,
CHEMBL133303,train,6.3,4.94,
CHEMBL3142563,train,6.29,3.81,
CHEMBL441432,train,6.28,3.59,
CHEMBL105422,train,6.27,4.86,
CHEMBL234529,test,6.27,4.79,
CHEMBL234735,train,6.27,6.39,
CHEMBL147005,train,6.24,5.17,
CHEMBL343860,train,6.24,5.53,
CHEMBL300875,train,6.22,5.02,
CHEMBL343414,train,6.22,7.69,
CHEMBL88559,train,6.16,5.6,
CHEMBL538028,train,6.15,5.4,
CHEMBL330728,train,6.14,2.25,
CHEMBL46083,train,6.13,2.86,
CHEMBL296894,train,6.12,1.75,
CHEMBL146951,train,6.12,5.31,
CHEMBL423015,train,6.11,6.23,
CHEMBL337071,train,6.08,1.41,
CHEMBL120305,train,6.08,6.57,
CHEMBL4442617,train,6.06,-12.79,
CHEMBL342102,test,6.04,5.22,
CHEMBL132053,train,6.01,1.93,
CHEMBL3221864,test,5.97,5.65,
CHEMBL3221863,train,5.95,4.68,
CHEMBL348755,train,5.93,6.07,
CHEMBL1939845,train,5.89,8.01,
CHEMBL46787,train,5.87,3.14,
CHEMBL124623,test,5.85,4.98,
CHEMBL262397,train,5.84,-1.03,
CHEMBL472899,train,5.82,5.99,
CHEMBL48043,train,5.81,5.16,
CHEMBL71573,train,5.8,7.28,
CHEMBL1939846,train,5.8,7.3,
CHEMBL3944931,test,5.8,-1.17,
CHEMBL96277,train,5.79,2.49,
CHEMBL147261,train,5.75,5.33,
CHEMBL443261,test,5.74,4.19,
CHEMBL421481,train,5.7,6.53,
CHEMBL132762,test,5.7,4.83,
CHEMBL3951740,train,5.69,-12.19,
CHEMBL328996,train,5.67,4.25,
CHEMBL3142562,test,5.65,7.44,
CHEMBL334107,train,5.63,4.54,
CHEMBL147494,train,5.6,5.51,
CHEMBL69726,train,5.58,8.27,
CHEMBL47054,train,5.54,2.9,
CHEMBL296002,train,5.54,3.71,
CHEMBL356504,train,5.54,4.21,
CHEMBL180410,train,5.52,4.31,
CHEMBL298585,test,5.46,6.54,
CHEMBL44103,test,5.46,3.64,
CHEMBL56753,train,5.4,5.58,
CHEMBL293481,test,5.4,5.4,
CHEMBL294997,test,5.37,2.46,
CHEMBL369574,train,5.34,5.02,
CHEMBL333567,train,5.33,6.74,
CHEMBL1939844,train,5.31,5.91,
CHEMBL418103,train,5.3,6.18,
CHEMBL319808,test,5.3,5.02,
CHEMBL2370820,train,5.23,5.73,
CHEMBL5894425,train,5.21,4.67,
CHEMBL515083,train,5.17,4.98,
CHEMBL56192,train,5.16,5.45,
CHEMBL336419,train,5.12,6.22,
CHEMBL5598430,train,5.06,2.77,
CHEMBL307320,train,5.0,5.93,
CHEMBL196647,train,5.0,-1.85,
CHEMBL440527,train,4.97,7.47,
CHEMBL3960452,train,4.93,-21.42,
CHEMBL183410,train,4.89,7.08,
CHEMBL71120,test,4.85,8.62,
CHEMBL5220101,train,4.82,5.12,
CHEMBL297670,train,4.81,3.12,
CHEMBL43879,train,4.8,2.71,
CHEMBL342005,test,4.75,5.42,
CHEMBL62089,train,4.64,5.64,
CHEMBL135216,train,4.62,4.86,
CHEMBL419395,train,4.52,4.38,
CHEMBL48121,test,4.41,3.46,
CHEMBL93742,train,4.4,5.15,
CHEMBL44691,train,4.38,4.1,
CHEMBL434624,train,4.28,6.41,
CHEMBL265769,train,4.24,-1.07,
