id,split,measured,predicted,note
CHEMBL450721,train,6.63,5.07,
CHEMBL456774,test,6.63,6.59,
CHEMBL416095,train,6.62,5.48,
CHEMBL57056,train,6.6,7.0,
CHEMBL295700,train,6.58,5.06,
CHEMBL344714,train,6.58,6.3,
CHEMBL349800,test,6.57,6.4,
CHEMBL128406,test,6.55,4.42,
CHEMBL3891386,train,6.55,0.32,
CHEMBL295260,train,6.54,2.94,
CHEMBL301600,train,6.53,6.34,
CHEMBL45010,train,6.52,5.34,
CHEMBL147903,train,6.52,6.74,
CHEMBL424407,test,6.51,6.87,
CHEMBL3142560,test,6.51,5.33,
CHEMBL69194,train,6.5,7.33,
CHEMBL298443,test,6.46,3.91,
CHEMBL148081,train,6.46,6.89,
CHEMBL319942,train,6.44,6.45,
CHEMBL158366,train,6.43,5.37,
CHEMBL45577,train,6.4,6.26,
CHEMBL53840,train,6.37,8.98,
CHEMBL489100,train,6.37,7.9,
CHEMBL292465,train,6.34,6.81,
CHEMBL3142557,test,6.34,6.48,
CHEMBL45882,test,6.33,5.07,
CHEMBL434505,train,6.32,6.55,
CHEMBL47627,train,6.31,3.41,
CHEMBL162128,test,6.31,6.6,
CHEMBL159645,train,6.31,7.87,
CHEMBL133303,train,6.3,6.41,
CHEMBL3142563,train,6.29,5.97,
CHEMBL441432,train,6.28,4.99,
CHEMBL105422,train,6.27,6.54,
CHEMBL234529,test,6.27,6.79,
CHEMBL234735,train,6.27,7.05,
CHEMBL147005,train,6.24,6.62,
CHEMBL343860,train,6.24,6.6,
CHEMBL300875,train,6.22,6.16,
CHEMBL343414,train,6.22,7.54,
CHEMBL88559,train,6.16,6.58,
CHEMBL538028,train,6.15,6.71,
CHEMBL330728,train,6.14,5.22,
CHEMBL46083,train,6.13,3.63,
CHEMBL296894,train,6.12,5.11,
CHEMBL146951,train,6.12,7.02,
CHEMBL423015,train,6.11,6.36,
CHEMBL337071,train,6.08,2.19,
CHEMBL120305,train,6.08,7.52,
CHEMBL4442617,train,6.06,5.01,
CHEMBL342102,test,6.04,6.93,
CHEMBL132053,train,6.01,4.37,
CHEMBL3221864,test,5.97,7.01,
CHEMBL3221863,train,5.95,6.4,
CHEMBL348755,train,5.93,6.57,
CHEMBL1939845,train,5.89,8.57,
CHEMBL46787,train,5.87,4.46,
CHEMBL124623,test,5.85,5.62,
CHEMBL262397,train,5.84,-1.1,
CHEMBL472899,train,5.82,6.21,
CHEMBL48043,train,5.81,5.67,
CHEMBL71573,train,5.8,10.1,
CHEMBL1939846,train,5.8,8.02,
CHEMBL3944931,test,5.8,-2.71,
CHEMBL96277,train,5.79,3.67,
CHEMBL147261,train,5.75,6.52,
CHEMBL443261,test,5.74,5.08,
CHEMBL421481,train,5.7,7.13,
CHEMBL132762,test,5.7,6.35,
CHEMBL3951740,train,5.69,1.65,
CHEMBL328996,train,5.67,4.71,
CHEMBL3142562,test,5.65,7.89,
CHEMBL334107,train,5.63,5.89,
CHEMBL147494,train,5.6,5.91,
CHEMBL69726,train,5.58,8.47,
CHEMBL47054,train,5.54,3.86,
CHEMBL296002,train,5.54,4.54,
CHEMBL356504,train,5.54,6.79,
CHEMBL180410,train,5.52,5.38,
CHEMBL298585,test,5.46,7.08,
CHEMBL44103,test,5.46,4.97,
CHEMBL56753,train,5.4,6.06,
CHEMBL293481,test,5.4,6.26,
CHEMBL294997,test,5.37,3.47,
CHEMBL369574,train,5.34,5.69,
CHEMBL333567,train,5.33,7.52,
CHEMBL1939844,train,5.31,6.69,
CHEMBL418103,train,5.3,7.2,
CHEMBL319808,test,5.3,6.02,
CHEMBL2370820,train,5.23,6.13,
CHEMBL5894425,train,5.21,5.87,
CHEMBL515083,train,5.17,5.52,
CHEMBL56192,train,5.16,5.79,
CHEMBL336419,train,5.12,6.83,
CHEMBL5598430,train,5.06,6.44,
CHEMBL307320,train,5.0,6.59,
CHEMBL196647,train,5.0,-5.55,
CHEMBL440527,train,4.97,7.74,
CHEMBL3960452,train,4.93,1.49,
CHEMBL183410,train,4.89,7.68,
CHEMBL71120,test,4.85,9.11,
CHEMBL5220101,train,4.82,6.78,
CHEMBL297670,train,4.81,4.64,
CHEMBL43879,train,4.8,3.71,
CHEMBL342005,test,4.75,8.0,
CHEMBL62089,train,4.64,7.14,
CHEMBL135216,train,4.62,6.49,
CHEMBL419395,train,4.52,5.28,
CHEMBL48121,test,4.41,3.98,
CHEMBL93742,train,4.4,6.57,
CHEMBL44691,train,4.38,4.75,
CHEMBL434624,train,4.28,8.0,
CHEMBL265769,train,4.24,-1.1,
